Year,Estado,Subindustria,USD
2011,San Luis Potosi,Subsectores no especificados,5888
2011,San Luis Potosi,"Mineria de minerales metalicos y no metalicos, excepto petroleo y gas",358211
2011,San Luis Potosi,Industria alimentaria,182791
2011,San Luis Potosi,Fabricacion de insumos textiles y acabado de textiles,49435
2011,San Luis Potosi,"Fabricacion de productos textiles, excepto prendas de vestir",20202
2011,San Luis Potosi,Fabricacion de prendas de vestir,77739
2011,San Luis Potosi,"Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos",349
2011,San Luis Potosi,Industria del papel,71668
2011,San Luis Potosi,Industria quimica,88457
2011,San Luis Potosi,Industria del plastico y del hule,349546
2011,San Luis Potosi,Fabricacion de productos a base de minerales no metalicos,12712
2011,San Luis Potosi,Industrias metalicas basicas,615461
2011,San Luis Potosi,Fabricacion de productos metalicos,72575
2011,San Luis Potosi,Fabricacion de maquinaria y equipo,408235
2011,San Luis Potosi,"Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos",26263
2011,San Luis Potosi,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",478573
2011,San Luis Potosi,Fabricacion de equipo de transporte,2875460
2011,San Luis Potosi,Otras industrias manufactureras,62035
2011,Sinaloa,Subsectores no especificados,9104
2011,Sinaloa,"Mineria de minerales metalicos y no metalicos, excepto petroleo y gas",21110
2011,Sinaloa,Industria alimentaria,201748
2011,Sinaloa,Industria de las bebidas y del tabaco,9110
2011,Sinaloa,Industria del papel,1216
2011,Sinaloa,Industria del plastico y del hule,4353
2011,Sinaloa,Fabricacion de productos metalicos,16514
2011,Sinaloa,Fabricacion de maquinaria y equipo,22067
2011,Sinaloa,Fabricacion de equipo de transporte,28345
2011,Sonora,Subsectores no especificados,26204
2011,Sonora,"Mineria de minerales metalicos y no metalicos, excepto petroleo y gas",959051
2011,Sonora,Industria alimentaria,235377
2011,Sonora,Industria de las bebidas y del tabaco,50191
2011,Sonora,"Fabricacion de productos textiles, excepto prendas de vestir",26286
2011,Sonora,Fabricacion de prendas de vestir,219380
2011,Sonora,"Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos",11245
2011,Sonora,Industria de la madera,1562
2011,Sonora,Industria del papel,31739
2011,Sonora,Impresion e industrias conexas,11507
2011,Sonora,Industria quimica,496075
2011,Sonora,Industria del plastico y del hule,90906
2011,Sonora,Fabricacion de productos a base de minerales no metalicos,6187
2011,Sonora,Industrias metalicas basicas,1114102
2011,Sonora,Fabricacion de productos metalicos,372065
2011,Sonora,Fabricacion de maquinaria y equipo,370163
2011,Sonora,"Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos",1494166
2011,Sonora,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",818759
2011,Sonora,Fabricacion de equipo de transporte,6700696
2011,Sonora,"Fabricacion de muebles, colchones y persianas",142330
2011,Sonora,Otras industrias manufactureras,917236
2011,Tabasco,Subsectores no especificados,1135
2011,Tabasco,Extraccion de petroleo y gas,14814178
2011,Tabasco,Industria alimentaria,96806
2011,Tabasco,Industria quimica,630281
2011,Tabasco,Fabricacion de productos a base de minerales no metalicos,3451
2011,Tamaulipas,Subsectores no especificados,373496
2011,Tamaulipas,Extraccion de petroleo y gas,493806
2011,Tamaulipas,Industria alimentaria,405817
2011,Tamaulipas,Industria de las bebidas y del tabaco,10410
2011,Tamaulipas,"Fabricacion de productos textiles, excepto prendas de vestir",62181
2011,Tamaulipas,Fabricacion de prendas de vestir,49451
2011,Tamaulipas,Industria de la madera,2788
2011,Tamaulipas,Industria del papel,116798
2011,Tamaulipas,Impresion e industrias conexas,51699
2011,Tamaulipas,Industria quimica,3304642
2011,Tamaulipas,Industria del plastico y del hule,566367
2011,Tamaulipas,Fabricacion de productos a base de minerales no metalicos,171388
2011,Tamaulipas,Industrias metalicas basicas,21825
2011,Tamaulipas,Fabricacion de productos metalicos,892523
2011,Tamaulipas,Fabricacion de maquinaria y equipo,1452510
2011,Tamaulipas,"Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos",7236670
2011,Tamaulipas,"Fabricacion de accesorios, aparatos electricos y equipo de generacion de energia electrica",2530314
2011,Tamaulipas,Fabricacion de equipo de transporte,3077492
2011,Tamaulipas,"Fabricacion de muebles, colchones y persianas",142897
2011,Tamaulipas,Otras industrias manufactureras,1121429
2011,Tlaxcala,Subsectores no especificados,155262
2011,Tlaxcala,Industria alimentaria,21544
2011,Tlaxcala,Fabricacion de insumos textiles y acabado de textiles,16817
2011,Tlaxcala,"Fabricacion de productos textiles, excepto prendas de vestir",1568
2011,Tlaxcala,Fabricacion de prendas de vestir,120120
2011,Tlaxcala,Industria del papel,26860
2011,Tlaxcala,Industria quimica,260588
2011,Tlaxcala,Industria del plastico y del hule,75304
2011,Tlaxcala,Fabricacion de productos a base de minerales no metalicos,145404
2011,Tlaxcala,Fabricacion de equipo de transporte,114516
2011,Veracruz,Subsectores no especificados,482083
2011,Veracruz,Extraccion de petroleo y gas,1975224
2011,Veracruz,"Mineria de minerales metalicos y no metalicos, excepto petroleo y gas",29347
2011,Veracruz,Industria alimentaria,898531
2011,Veracruz,Industria de las bebidas y del tabaco,100027
2011,Veracruz,"Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos",19357
2011,Veracruz,Industria del papel,21922
2011,Veracruz,Industria quimica,1775115
2011,Veracruz,Industria del plastico y del hule,60286
2011,Veracruz,Fabricacion de productos a base de minerales no metalicos,35438
2011,Veracruz,Industrias metalicas basicas,1122008
2011,Veracruz,Fabricacion de productos metalicos,49947
2011,Veracruz,Fabricacion de maquinaria y equipo,176395
2011,Yucatan,Subsectores no especificados,48546
2011,Yucatan,Industria alimentaria,83419
2011,Yucatan,Industria de las bebidas y del tabaco,433
2011,Yucatan,Fabricacion de insumos textiles y acabado de textiles,13140
2011,Yucatan,"Fabricacion de productos textiles, excepto prendas de vestir",23791
2011,Yucatan,Fabricacion de prendas de vestir,319150
2011,Yucatan,Industria de la madera,3596
2011,Yucatan,Industria quimica,1647
2011,Yucatan,Industria del plastico y del hule,51117
2011,Yucatan,Fabricacion de productos a base de minerales no metalicos,1318
2011,Yucatan,Fabricacion de maquinaria y equipo,13352
2011,Yucatan,Fabricacion de equipo de transporte,199393
2011,Yucatan,Otras industrias manufactureras,567497
2011,Zacatecas,Subsectores no especificados,283630
2011,Zacatecas,"Mineria de minerales metalicos y no metalicos, excepto petroleo y gas",1482762
2011,Zacatecas,Industria alimentaria,50803
2011,Zacatecas,Fabricacion de prendas de vestir,18178
2011,Zacatecas,Fabricacion de productos metalicos,809
2011,Zacatecas,Fabricacion de equipo de transporte,1386928
2012,Aguascalientes,Subsectores no especificados,49580
2012,Aguascalientes,Industria alimentaria,92580
2012,Aguascalientes,Fabricacion de insumos textiles y acabado de textiles,5843
2012,Aguascalientes,Fabricacion de prendas de vestir,215002
2012,Aguascalientes,Industria quimica,7500
2012,Aguascalientes,Industria del plastico y del hule,5063
2012,Aguascalientes,Fabricacion de productos a base de minerales no metalicos,79030
2012,Aguascalientes,Fabricacion de productos metalicos,6647
2012,Aguascalientes,Fabricacion de maquinaria y equipo,46991
2012,Aguascalientes,"Fabricacion de equipo de computacion, comunicacion, medicion y de otros equipos, componentes y accesorios electronicos",908028
2012,Aguascalientes,Fabricacion de equipo de transporte,4749144
2012,Aguascalientes,Otras industrias manufactureras,18374
2012,Baja California,Subsectores no especificados,35364
2012,Baja California,"Mineria de minerales metalicos y no metalicos, excepto petroleo y gas",0
2012,Baja California,Industria alimentaria,152449
2012,Baja California,Industria de las bebidas y del tabaco,100612
2012,Baja California,"Fabricacion de productos textiles, excepto prendas de vestir",23254
2012,Baja California,Fabricacion de prendas de vestir,305262
2012,Baja California,"Curtido y acabado de cuero y piel, y fabricacion de productos de cuero, piel y materiales sucedaneos",36191
2012,Baja California,Industria de la madera,24394
2012,Baja California,Industria del papel,155870
2012,Baja California,Impresion e industrias conexas,223990
2012,Baja California,Industria quimica,330995
2012,Baja California,Industria del plastico y del hule,728076
2012,Baja California,Fabricacion de productos a base de minerales no metalicos,309627
2012,Baja California,Industrias metalicas basicas,179042
2012,Baja California,Fabricacion de productos metalicos,1680666
2012,Baja California,Fabricacion de maquinaria y equipo,1047422
